p,d,q,AIC,BIC
3,0,2,34239.950366235964,34275.84691244803
2,0,1,34282.064888272624,34305.99591908067
3,0,0,34282.08309531705,34306.0141261251
2,0,0,34283.197684461855,34301.14595756789
1,0,3,34283.541848842346,34313.4556373524
3,0,1,34284.03904985414,34313.952838364195
2,0,2,34284.06357607474,34313.977364584796
2,0,3,34285.41192471229,34321.308470924356
3,0,3,34285.46063215981,34327.33993607389
1,0,2,34285.47491757877,34309.40594838682
1,0,1,34308.89117135528,34326.839444461315
0,0,3,34359.33465281422,34383.26568362227
0,0,2,34435.66685346165,34453.61512656768
1,0,0,34489.67074835037,34501.63626375439
0,0,1,34722.85929862112,34734.824814025145
